Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
prompt-packs,AI Prompt Packs for Businesses & Creators,"<p><strong>Eight complete prompt packs — 160 role-first prompts — plus the builder that turns any one of them into a product file you can list this afternoon.</strong></p>
<h3>The problem</h3>
<p>Most prompt packs on sale are a list of one-line instructions with no role, no context and no output specification — which is why they earn refund requests. The difference between a pack that gets five stars and one that gets returned is five specific characteristics, and almost nobody applies them, because writing twenty good prompts for a niche you do not work in is real labour.</p>
<p>It deals specifically with:</p>
<ul><li>Prompt packs that are lists of vague instructions and disappoint on first use</li><li>Having nothing finished to sell while you decide what to make</li><li>Prompts scattered across notes with no order matching how you work</li><li>Turning a prompt collection into an actual product file with a licence and a listing</li></ul>
<h3>Who it is for</h3>
<ul><li>Sellers who want a product to list today rather than an idea to develop</li><li>Business owners who want prompts organised the way their working day is</li><li>Anyone whose prompt library is a note file with 200 lines in it</li></ul>
<h3>What you get</h3>
<ul><li>Eight finished packs, 20 prompts each — 160 role-first prompts written to be used as they stand</li><li>Each prompt carries its role, context, output format and the variables you swap</li><li>Organised by the buyer&#39;s working day rather than by prompt category</li><li>A pack builder that emits a complete product file, not an outline</li><li>The five characteristics that separate a reviewed pack from a returned one, applied throughout</li><li>Pricing model and the four channels the packs actually sell through</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html and browse the eight packs — they are finished, not samples.</li><li>Use them yourself first. A pack you have never run is a pack you cannot support.</li><li>Swap the variables for your own business or your client&#39;s.</li><li>Open the builder to assemble a pack for your niche, then export the product file.</li><li>List it with the licence included; price it against the bands in the pricing section.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>A sellable prompt pack exported today</li><li>Prompts that produce usable first drafts rather than another round of prompting</li><li>A pack structure you can refill for any niche you know</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Anyone hoping to resell the 160 prompts verbatim — the licence covers use, not resale, unless you buy the Agency tier</li><li>People wanting prompts for a niche nobody has described to it</li></ul>
<h3>What it cannot do</h3>
<p>The prompts are curated and fixed, not generated — you can read every one before you buy the idea that they work.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"prompt pack, chatgpt prompts, ai prompts for business, prompt library, sellable prompts, content prompts, marketing prompts, prompt engineering, digital product, offline",TRUE,Licence,Solo licence,PROMPTPACKS-SOLO,0,,continue,manual,39,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/prompt-packs/square.png,1,"AI Prompt Packs for Businesses & Creators — 160 finished prompts, and the machinery to sell them","AI Prompt Packs for Businesses & Creators — 160 finished prompts, and…",Eight complete prompt packs — 160 role-first prompts — plus the builder that turns any one of them into a product file you can list this afternoon.,active
prompt-packs,,,,,,,Licence,Studio licence,PROMPTPACKS-STUDIO,0,,continue,manual,98,FALSE,TRUE,,,,,,
prompt-packs,,,,,,,Licence,Agency licence,PROMPTPACKS-AGENCY,0,,continue,manual,195,FALSE,TRUE,,,,,,
prompt-generator,The Wealth Ideas Prompt Generator,"<p><strong>The Wealth Ideas Matrix wired into the CLEAR formula: pick role, context, audience, offer and niche, get a complete prompt — then a pack you can list.</strong></p>
<h3>The problem</h3>
<p>A hundred rows of expert roles, business contexts, audiences, offers and niches is a reference table — useful to look at, impossible to use. The CLEAR structure is exactly what those columns were built for, and joining the two turns a table into a prompt generator. Most people never make that join, so the matrix stays a document and the prompts stay vague.</p>
<p>It deals specifically with:</p>
<ul><li>Prompts missing the role, audience and output specification that decide the quality</li><li>Rewriting the same prompt skeleton for every new client or niche</li><li>Prompt packs assembled by hand, one prompt at a time</li><li>Listing copy for a pack written from nothing at the end of a long build</li></ul>
<h3>Who it is for</h3>
<ul><li>Anyone whose prompts are one line long and produce one-line-quality output</li><li>Sellers building prompt packs for niches they do not personally work in</li><li>People who want variety without writing every prompt by hand</li></ul>
<h3>What you get</h3>
<ul><li>The generator — every CLEAR field pre-populated from the matrix, editable, combining into complete prompts</li><li>The Wealth Ideas Matrix itself: expert roles, business contexts, audiences, income-stream offers, niches</li><li>A pack builder that assembles selected prompts into a sellable file</li><li>Listing-copy generator for the finished pack</li><li>Saved sets, so a client&#39;s configuration is one click away next time</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html and pick a row of the matrix that resembles your buyer.</li><li>Edit each CLEAR field — the defaults are a starting point, not the answer.</li><li>Copy the assembled prompt into any model and check the output before you sell it.</li><li>Collect the ones that worked into a pack in the builder.</li><li>Generate the listing copy and export.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>Prompts that carry context, role and output format every time</li><li>A finished prompt pack for a niche, built in an afternoon</li><li>Listing copy generated from the pack rather than invented afterwards</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Anyone wanting curated, ready-to-use prompts rather than combinations — buy the Prompt Packs instead</li><li>People who will sell packs without testing a single prompt</li></ul>
<h3>What it cannot do</h3>
<p>Combinatorial by design: it generates structure, and the judgement about which combinations are worth selling stays yours.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"prompt generator, clear formula, wealth ideas matrix, prompt pack builder, chatgpt prompts, ai prompt structure, listing copy, digital product, niche prompts, offline app",TRUE,Licence,Solo licence,PROMPTGENERATOR-SOLO,0,,continue,manual,29,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/prompt-generator/square.png,1,"The Wealth Ideas Prompt Generator — 99,000 prompts from one matrix, packaged for sale","The Wealth Ideas Prompt Generator — 99,000 prompts from one matrix,…","The Wealth Ideas Matrix wired into the CLEAR formula: pick role, context, audience, offer and niche, get a complete prompt — then a pack you can list.",active
prompt-generator,,,,,,,Licence,Studio licence,PROMPTGENERATOR-STUDIO,0,,continue,manual,73,FALSE,TRUE,,,,,,
prompt-generator,,,,,,,Licence,Agency licence,PROMPTGENERATOR-AGENCY,0,,continue,manual,145,FALSE,TRUE,,,,,,
canva-templates,The Canva Template Library Builder,"<p><strong>Niche × pack type × angle produces a complete spec — brand kit, per-template pixel dimensions, type pairing, layout — then prices, validates and schedules the catalogue.</strong></p>
<h3>The problem</h3>
<p>Canva templates are among the highest-volume digital products there are, and the advice about them stops at &#39;pick a niche and make a pack&#39;. What is missing is the document you need before opening Canva: which templates, at which pixel dimensions, in which colours, with which type pairing, laid out how. Without it you design one template at a time and the pack takes a fortnight.</p>
<p>It deals specifically with:</p>
<ul><li>Starting a pack with no build sheet and finishing it in fragments</li><li>Inconsistent dimensions and type across templates in the same pack</li><li>Pricing a pack by looking at one competitor</li><li>A catalogue plan that exists only as an intention</li></ul>
<h3>Who it is for</h3>
<ul><li>Designers selling template packs on Etsy, Creative Market or their own store</li><li>Anyone who opens Canva, makes three templates and loses the thread</li><li>Sellers planning a catalogue rather than a one-off pack</li></ul>
<h3>What you get</h3>
<ul><li>Pack Builder — 3,456 niche × pack-type × angle combinations, each producing a full spec</li><li>A brand kit per pack: palette, type pairing, spacing rules</li><li>Per-template build sheets with exact pixel dimensions and layout notes</li><li>Pricing bands and the six validation methods applied to your specific pack</li><li>Listing SEO structure for the marketplaces that sell these</li><li>A catalogue schedule, so pack two is planned before pack one ships</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html and choose niche, pack type and angle.</li><li>Read the generated brand kit and change what does not suit you — it is a starting point.</li><li>Take the per-template build sheet into Canva and work down it.</li><li>Run the validation before you build the second pack, not after.</li><li>Use the listing SEO structure when you upload.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>A build sheet you can work straight through in Canva</li><li>A pack that looks like one product rather than twelve unrelated files</li><li>A price you can defend and a listing already structured</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Anyone expecting the templates themselves — this builds the specification, not the artwork</li><li>Designers with an established system who only need a marketplace</li></ul>
<h3>What it cannot do</h3>
<p>It generates specifications from fixed rules. Whether the niche has buyers is the validation step&#39;s job, and it needs you to look.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"canva templates, template pack, etsy digital products, design system, brand kit, template business, creative market, product spec, catalogue planning, offline tool",TRUE,Licence,Solo licence,CANVATEMPLATES-SOLO,0,,continue,manual,39,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/canva-templates/square.png,1,The Canva Template Library Builder — The build sheet you need before opening Canva,The Canva Template Library Builder — The build sheet you need before…,"Niche × pack type × angle produces a complete spec — brand kit, per-template pixel dimensions, type pairing, layout — then prices, validates and schedules…",active
canva-templates,,,,,,,Licence,Studio licence,CANVATEMPLATES-STUDIO,0,,continue,manual,98,FALSE,TRUE,,,,,,
canva-templates,,,,,,,Licence,Agency licence,CANVATEMPLATES-AGENCY,0,,continue,manual,195,FALSE,TRUE,,,,,,
course-creation,Course Creation Systems,"<p><strong>Curriculum designed backwards from a measurable outcome, time-boxed lesson scripts, an honest production estimate, pricing arithmetic and a drop-off audit.</strong></p>
<h3>The problem</h3>
<p>A course is the most expensive digital product there is. A prompt pack is an afternoon; a course is a hundred hours, and almost nobody works that out before starting — which is why so many are abandoned halfway through module three, with the recording done and the workbook never written. The production estimate belongs at the beginning.</p>
<p>It deals specifically with:</p>
<ul><li>Curricula designed forwards from what you know rather than backwards from what they must be able to do</li><li>Production hours discovered at hour sixty</li><li>Lessons that sprawl because nothing time-boxed them</li><li>Pricing decided by looking at what someone else charges</li></ul>
<h3>Who it is for</h3>
<ul><li>Anyone who has abandoned a course in module three</li><li>Coaches turning a programme into something self-paced</li><li>Experts who have been told &#39;you should make a course&#39; and believed it</li></ul>
<h3>What you get</h3>
<ul><li>A validation gate that sits in front of the production estimate, not after it</li><li>Curriculum designed backwards from one measurable outcome</li><li>Time-boxed lesson scripts with the structure each lesson type needs</li><li>An honest production-hours estimate, including the parts people forget</li><li>Pricing and platform arithmetic on your numbers</li><li>A drop-off audit — where students leave, and what to change</li><li>A launch schedule that fits the production plan</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html and state the outcome first — what a finished student can do that they could not before.</li><li>Pass the validation gate before touching curriculum. If it fails, that is the cheapest failure available.</li><li>Build the curriculum backwards from the outcome; delete anything that does not serve it.</li><li>Read the production estimate honestly and decide again with that number in view.</li><li>Set price and platform in the arithmetic tab, then follow the launch schedule.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>The real hour count before you commit a single weekend</li><li>A curriculum where every lesson exists to serve the stated outcome</li><li>A price and a platform chosen with the fees included</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Anyone wanting the course content written for them</li><li>People who have already recorded everything and want a marketing plan</li></ul>
<h3>What it cannot do</h3>
<p>The production estimate is derived from your own scope, and it is usually larger than expected. That is the tool working.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"online course creation, curriculum design, course pricing, backwards design, course production, elearning, drop off, teachable, course launch, offline tool",TRUE,Licence,Solo licence,COURSECREATION-SOLO,0,,continue,manual,49,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/course-creation/square.png,1,"Course Creation Systems — The hundred hours, counted before you start","Course Creation Systems — The hundred hours, counted before you start","Curriculum designed backwards from a measurable outcome, time-boxed lesson scripts, an honest production estimate, pricing arithmetic and a drop-off audit.",active
course-creation,,,,,,,Licence,Studio licence,COURSECREATION-STUDIO,0,,continue,manual,123,FALSE,TRUE,,,,,,
course-creation,,,,,,,Licence,Agency licence,COURSECREATION-AGENCY,0,,continue,manual,245,FALSE,TRUE,,,,,,
ecommerce-setup,Store Setup Guides — Shopify & E-Commerce,"<p><strong>Six weighted questions on whether you need your own store yet, a break-even calculator for platform fees, and the build in eleven ordered steps.</strong></p>
<h3>The problem</h3>
<p>Every step before this one is documented in detail — validation, listing SEO, pricing bands, launch plans — and then the last step, owning your store, is a single sentence: do it once you are earning consistently. That leaves the two questions that matter unanswered. Is it worth it at your volume, and in what order do you build it?</p>
<p>It deals specifically with:</p>
<ul><li>Opening a store too early and paying a monthly fee out of three sales</li><li>Staying on a marketplace long past the point the fees exceed a subscription</li><li>Building a store in the wrong order and redoing the checkout twice</li><li>No plan for the direct customer relationship the move was supposed to buy</li></ul>
<h3>Who it is for</h3>
<ul><li>Sellers doing consistent numbers on Gumroad, Etsy or Selar and wondering about their own store</li><li>Anyone paying marketplace fees and unsure whether a subscription beats them</li><li>First-time store builders who want an order of operations</li></ul>
<h3>What you get</h3>
<ul><li>Choose — six weighted questions and a verdict on whether you need a store yet</li><li>A break-even calculator for the only fee question that matters: marketplace percentage against monthly subscription</li><li>Set Up — the build in eleven ordered steps, each with what &#39;done&#39; looks like</li><li>Payments and digital delivery, including what a store does not do for you</li><li>The migration path off a marketplace without losing the reviews you earned</li><li>A launch checklist for the first week live</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html and answer the six questions honestly.</li><li>Put your real monthly sales and fee percentage into the break-even calculator.</li><li>If the verdict is &#39;not yet&#39;, close the tab and re-run it in a quarter. That is a result.</li><li>If it is yes, work the eleven steps in order.</li><li>Use the launch checklist before you announce anything.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>A yes or no on the store, with the volume figure that decided it</li><li>The break-even number of sales per month, in your currency</li><li>Eleven steps in the right order, so nothing gets built twice</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Sellers with no sales yet — the honest answer will be &#39;not yet&#39; and you can have that for free</li><li>Physical-goods logistics; this is about digital delivery</li></ul>
<h3>What it cannot do</h3>
<p>The break-even is computed from the fee percentages and volume you type. It has no live pricing for any platform — check the current plans before you commit.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"shopify setup, own store vs marketplace, platform fees, break even, digital delivery, ecommerce guide, gumroad fees, store launch, checkout setup, offline guide",TRUE,Licence,Solo licence,ECOMMERCESETUP-SOLO,0,,continue,manual,29,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/ecommerce-setup/square.png,1,"Store Setup Guides — Shopify & E-Commerce — When to leave the marketplace, and how",Store Setup Guides — Shopify & E-Commerce — When to leave the…,"Six weighted questions on whether you need your own store yet, a break-even calculator for platform fees, and the build in eleven ordered steps.",active
ecommerce-setup,,,,,,,Licence,Studio licence,ECOMMERCESETUP-STUDIO,0,,continue,manual,73,FALSE,TRUE,,,,,,
ecommerce-setup,,,,,,,Licence,Agency licence,ECOMMERCESETUP-AGENCY,0,,continue,manual,145,FALSE,TRUE,,,,,,
agency-sops,The Agency Operations System,"<p><strong>The six SOPs a digital service agency runs on, arriving already written for your service line — and every line of every one is editable.</strong></p>
<h3>The problem</h3>
<p>The first $1,000 month is a problem of action. The first $5,000 month is a problem of systems — and the systems are six specific procedures, not a general intention to get organised. Everyone knows this. Nobody writes them, because a blank SOP template is one of the least inviting documents in existence.</p>
<p>It deals specifically with:</p>
<ul><li>Delivery that depends entirely on you remembering how you did it last time</li><li>Onboarding that takes a week because nothing is documented</li><li>Quality that varies by how tired you were that Thursday</li><li>Being unable to hire because you cannot explain the job</li></ul>
<h3>Who it is for</h3>
<ul><li>Freelancers whose first $5,000 month keeps turning into chaos</li><li>Anyone about to hire and realising nothing is written down</li><li>Agencies where every project runs slightly differently</li></ul>
<h3>What you get</h3>
<ul><li>Stage — Hustler / Operator / Owner as a diagnostic, so you build the procedures for the stage you are in</li><li>Six SOPs, pre-written from real delivery workflows for your service line, all of them editable</li><li>The brief-to-delivery workflow with its timings</li><li>The monthly client cycle, step by step</li><li>An efficiency audit that finds what to systematise next</li><li>Export as documents you can hand to a contractor on day one</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html and pick your service line — the SOPs arrive populated for it.</li><li>Do the stage diagnostic first. Building Owner-stage systems while you are a Hustler wastes a fortnight.</li><li>Edit every line. A procedure you have not corrected is a procedure you will not follow.</li><li>Run one real project against the SOP and fix what was wrong.</li><li>Export and store them where whoever does the work can reach them.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>Six written procedures, today, instead of six blank templates</li><li>A first hire who can follow the work without shadowing you</li><li>Delivery that survives a week when you are ill</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Solo operators with one client and no plan to add another</li><li>Anyone wanting compliance documentation — these are operating procedures, not ISO</li></ul>
<h3>What it cannot do</h3>
<p>The procedures come pre-written from documented workflows, not from a model. They will be wrong about your business in places, and the edit boxes are where you fix that.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"agency sop, standard operating procedures, delivery workflow, freelance systems, client onboarding, team documentation, scaling agency, process template, operations, offline app",TRUE,Licence,Solo licence,AGENCYSOPS-SOLO,0,,continue,manual,39,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/agency-sops/square.png,1,"The Agency Operations System — Six procedures, pre-written from real workflows","The Agency Operations System — Six procedures, pre-written from real…","The six SOPs a digital service agency runs on, arriving already written for your service line — and every line of every one is editable.",active
agency-sops,,,,,,,Licence,Studio licence,AGENCYSOPS-STUDIO,0,,continue,manual,98,FALSE,TRUE,,,,,,
agency-sops,,,,,,,Licence,Agency licence,AGENCYSOPS-AGENCY,0,,continue,manual,195,FALSE,TRUE,,,,,,
client-contracts,The Proposal & Contract Kit,"<p><strong>One form produces the proposal, the services agreement, the change order and the emails that carry them, so the figures always agree.</strong></p>
<h3>The problem</h3>
<p>The gap between a good call and a signed engagement is four documents nobody enjoys writing, so they get written badly and fast: a proposal with a price, a contract from a template site with the wrong currency, no change order at all, and an email that undersells all three. Then the numbers in the contract do not match the numbers in the proposal, and the argument in month two is about which one counted.</p>
<p>It deals specifically with:</p>
<ul><li>Proposals and contracts that quote different prices, dates or scopes</li><li>Scope creep with no mechanism to charge for it</li><li>Six clauses re-typed per client and forgotten in a hurry</li><li>The 24-hour follow-up that never goes out because writing it takes an hour</li></ul>
<h3>Who it is for</h3>
<ul><li>Freelancers sending proposals in a text document</li><li>Anyone who has done unpaid extra work because scope was never written</li><li>Agencies re-typing the same six clauses per engagement</li></ul>
<h3>What you get</h3>
<ul><li>One intake form: fee, dates, client, jurisdiction, scope, revisions</li><li>A one-page proposal with three tiers and an expiry date</li><li>A services agreement carrying the six clauses an engagement needs — scope, revisions, payment, IP, confidentiality, termination</li><li>A change order that prices additional work against the original agreement</li><li>The covering emails for all three, written from the same data</li><li>Print-ready output; nothing leaves your device</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html and fill the intake once.</li><li>Generate the proposal and send it the same day. Speed is most of the win rate here.</li><li>On acceptance, generate the agreement — the numbers carry over automatically.</li><li>Read every clause and delete what does not apply to your engagement.</li><li>When scope changes, raise a change order rather than an opinion.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>A proposal out within 24 hours of the call, priced in tiers</li><li>A contract whose figures cannot disagree with the proposal</li><li>A written route to charging for extra work instead of absorbing it</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Anything over a few thousand, unusual risk, or personal data at scale — have a lawyer read it</li><li>Employment contracts, or jurisdictions you have not checked</li></ul>
<h3>What it cannot do</h3>
<p>Not legal advice. This is a drafting aid built from general practice; contract law varies by country, by state and by the facts of your engagement.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"freelance contract, client proposal, services agreement, change order, scope creep, consulting contract, proposal template, agency documents, invoice terms, offline tool",TRUE,Licence,Solo licence,CLIENTCONTRACTS-SOLO,0,,continue,manual,49,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/client-contracts/square.png,1,"The Proposal & Contract Kit — Proposal, contract, change order — same numbers","The Proposal & Contract Kit — Proposal, contract, change order — same…","One form produces the proposal, the services agreement, the change order and the emails that carry them, so the figures always agree.",active
client-contracts,,,,,,,Licence,Studio licence,CLIENTCONTRACTS-STUDIO,0,,continue,manual,123,FALSE,TRUE,,,,,,
client-contracts,,,,,,,Licence,Agency licence,CLIENTCONTRACTS-AGENCY,0,,continue,manual,245,FALSE,TRUE,,,,,,
invoice-automation,Invoice & Payment Automation,"<p><strong>An invoice that adds up to the cent, due dates derived from your stated terms, a chase sequence that writes its own emails, and a live picture of what you are owed.</strong></p>
<h3>The problem</h3>
<p>Almost none of the gap between finishing work and being paid is a collections problem. It is a decisions problem: what to number the invoice, when it falls due, when to chase, what to say, what to charge for being late. Those get re-decided on every invoice, badly, under time pressure — which is why the invoice goes out late, the terms drift, the reminder never gets sent, and the money arrives whenever the client feels like it.</p>
<p>It deals specifically with:</p>
<ul><li>Invoices that do not quite add up, or use last quarter&#39;s tax rate</li><li>Due dates invented per invoice instead of derived from a payment term</li><li>Reminders never sent because each one has to be written from scratch</li><li>No idea what is actually outstanding this week</li></ul>
<h3>Who it is for</h3>
<ul><li>Freelancers whose invoices go out late and get paid later</li><li>Anyone who has never sent a payment reminder because writing it feels rude</li><li>Small studios with money owed across several clients and no single view of it</li></ul>
<h3>What you get</h3>
<ul><li>An invoice builder that reconciles to the cent, with tax and discounts handled explicitly</li><li>Payment terms set once — deposits, Net 7/14/30 — with every date derived from them</li><li>A chase sequence that writes each reminder, escalating in tone on a schedule you set</li><li>Late fees calculated rather than threatened</li><li>An ageing view: what is owed, by whom, and when it fell due</li><li>Print and export, with your own branding</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html and set your payment terms once, in Settings.</li><li>Build the invoice; check the total reconciles before you send.</li><li>Let the chase sequence generate reminder one — send it on the day it says.</li><li>Escalate on the schedule rather than on your mood.</li><li>Check the ageing view every Monday. It takes ninety seconds.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>Invoices out the same day the work finishes</li><li>Reminders that send themselves out of a queue instead of your conscience</li><li>One number for what you are owed, and one for what is overdue</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Accounting or bookkeeping — this does not do your books</li><li>Businesses needing e-invoicing compliance in regulated jurisdictions</li></ul>
<h3>What it cannot do</h3>
<p>The arithmetic is exact and the dates are derived from your terms. It does not connect to your bank, so payments are marked by you.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"invoice template, freelance invoicing, payment reminders, late payment, net 30, chase sequence, accounts receivable, small business cash flow, invoice generator, offline",TRUE,Licence,Solo licence,INVOICEAUTOMATION-SOLO,0,,continue,manual,39,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/invoice-automation/square.png,1,"Invoice & Payment Automation — Get it out right, then get it paid","Invoice & Payment Automation — Get it out right, then get it paid","An invoice that adds up to the cent, due dates derived from your stated terms, a chase sequence that writes its own emails, and a live picture of what you…",active
invoice-automation,,,,,,,Licence,Studio licence,INVOICEAUTOMATION-STUDIO,0,,continue,manual,98,FALSE,TRUE,,,,,,
invoice-automation,,,,,,,Licence,Agency licence,INVOICEAUTOMATION-AGENCY,0,,continue,manual,195,FALSE,TRUE,,,,,,
